batch_id,img_dir,accuracy,topk,clean_CUDA_time,clean_CUDA_mem,clean_CPU_time,clean_CPU_mem,clean_outliers,clean_GFLOPs,adv_CUDA_time,adv_CUDA_mem,adv_CPU_time,adv_CPU_mem,adv_outliers,adv_GFLOPs
0,['/dt/shabtaia/dt-fujitsu/datasets/active/imagenet_detection/images/test/ILSVRC2012_test_00000003.JPEG'],0,0,61.698,1006.720703125,681.378,0.000255584716796875,244.0,0.850612992,64.486,1164.1796875,737.894,0.000255584716796875,2894.0,0.850612992
1,['/dt/shabtaia/dt-fujitsu/datasets/active/imagenet_detection/images/test/ILSVRC2012_test_00000004.JPEG'],0,0,60.492,992.1142578125,683.024,0.000255584716796875,166.0,0.850612992,64.628,1082.912109375,738.486,3.814697265625e-06,2789.0,0.850612992
2,['/dt/shabtaia/dt-fujitsu/datasets/active/imagenet_detection/images/test/ILSVRC2012_test_00000014.JPEG'],0,0,60.586,1037.90673828125,705.541,0.000255584716796875,237.0,0.850612992,64.942,1096.9091796875,732.858,0.000255584716796875,2892.0,0.850612992
3,['/dt/shabtaia/dt-fujitsu/datasets/active/imagenet_detection/images/test/ILSVRC2012_test_00000015.JPEG'],0,0,60.78,994.232421875,684.279,0.000255584716796875,192.0,0.850612992,64.526,1086.30859375,730.816,0.000255584716796875,2842.0,0.850612992
4,['/dt/shabtaia/dt-fujitsu/datasets/active/imagenet_detection/images/test/ILSVRC2012_test_00000016.JPEG'],0,0,60.336,993.3193359375,681.694,0.000255584716796875,254.0,0.850612992,64.728,1147.2802734375,737.916,0.000255584716796875,2565.0,0.850612992
5,['/dt/shabtaia/dt-fujitsu/datasets/active/imagenet_detection/images/test/ILSVRC2012_test_00000018.JPEG'],0,0,60.728,1000.88525390625,686.046,0.000255584716796875,255.0,0.850612992,65.13,1085.20361328125,745.505,0.000255584716796875,2823.0,0.850612992
6,['/dt/shabtaia/dt-fujitsu/datasets/active/imagenet_detection/images/test/ILSVRC2012_test_00000019.JPEG'],0,0,61.226,994.404296875,687.614,0.000255584716796875,212.0,0.850612992,64.832,1079.9970703125,726.869,3.814697265625e-06,2649.0,0.850612992
7,['/dt/shabtaia/dt-fujitsu/datasets/active/imagenet_detection/images/test/ILSVRC2012_test_00000021.JPEG'],0,0,61.062,1020.2861328125,687.849,0.000255584716796875,303.0,0.850612992,64.35,1090.03515625,738.829,3.814697265625e-06,2843.0,0.850612992
8,['/dt/shabtaia/dt-fujitsu/datasets/active/imagenet_detection/images/test/ILSVRC2012_test_00000026.JPEG'],0,0,61.204,996.208984375,683.954,0.000255584716796875,268.0,0.850612992,65.636,1085.78076171875,739.92,0.000255584716796875,2758.0,0.850612992
9,['/dt/shabtaia/dt-fujitsu/datasets/active/imagenet_detection/images/test/ILSVRC2012_test_00000030.JPEG'],0,0,60.982,987.35546875,690.719,0.000255584716796875,229.0,0.850612992,65.342,1092.67919921875,752.289,0.000255584716796875,2758.0,0.850612992
10,['/dt/shabtaia/dt-fujitsu/datasets/active/imagenet_detection/images/test/ILSVRC2012_test_00000033.JPEG'],0,0,61.54,993.5283203125,669.864,0.000255584716796875,247.0,0.850612992,62.524,1050.49560546875,696.844,0.000255584716796875,1087.0,0.850612992
11,['/dt/shabtaia/dt-fujitsu/datasets/active/imagenet_detection/images/test/ILSVRC2012_test_00000034.JPEG'],0,0,61.122,1020.90869140625,691.202,0.000255584716796875,284.0,0.850612992,65.122,1091.50146484375,772.201,0.000255584716796875,2848.0,0.850612992
12,['/dt/shabtaia/dt-fujitsu/datasets/active/imagenet_detection/images/test/ILSVRC2012_test_00000036.JPEG'],0,0,60.079,1007.67236328125,688.48,0.000255584716796875,179.0,0.850612992,64.804,1090.71435546875,690.327,0.000255584716796875,2826.0,0.850612992
13,['/dt/shabtaia/dt-fujitsu/datasets/active/imagenet_detection/images/test/ILSVRC2012_test_00000037.JPEG'],0,0,61.154,1041.78759765625,689.28,0.000255584716796875,237.0,0.850612992,65.138,1097.873046875,755.397,0.000255584716796875,2923.0,0.850612992
14,['/dt/shabtaia/dt-fujitsu/datasets/active/imagenet_detection/images/test/ILSVRC2012_test_00000038.JPEG'],0,0,60.75,986.7333984375,690.858,0.000255584716796875,215.0,0.850612992,64.344,1083.3212890625,728.777,0.000255584716796875,2825.0,0.850612992
15,['/dt/shabtaia/dt-fujitsu/datasets/active/imagenet_detection/images/test/ILSVRC2012_test_00000039.JPEG'],0,0,60.764,1036.5908203125,693.326,0.000255584716796875,229.0,0.850612992,64.69,1096.20703125,743.764,0.000255584716796875,2857.0,0.850612992
16,['/dt/shabtaia/dt-fujitsu/datasets/active/imagenet_detection/images/test/ILSVRC2012_test_00000047.JPEG'],0,0,61.268,1018.1376953125,690.638,0.000255584716796875,232.0,0.850612992,64.834,1092.08935546875,739.979,0.000255584716796875,2871.0,0.850612992
17,['/dt/shabtaia/dt-fujitsu/datasets/active/imagenet_detection/images/test/ILSVRC2012_test_00000048.JPEG'],0,0,60.358,1009.20556640625,693.643,0.000255584716796875,256.0,0.850612992,65.138,1092.8974609375,738.072,3.814697265625e-06,2869.0,0.850612992
18,['/dt/shabtaia/dt-fujitsu/datasets/active/imagenet_detection/images/test/ILSVRC2012_test_00000055.JPEG'],0,0,61.112,996.7607421875,695.683,0.000255584716796875,250.0,0.850612992,64.74,1082.54736328125,759.007,0.000255584716796875,2779.0,0.850612992
19,['/dt/shabtaia/dt-fujitsu/datasets/active/imagenet_detection/images/test/ILSVRC2012_test_00000056.JPEG'],0,0,60.43,994.078125,692.676,0.000255584716796875,302.0,0.850612992,64.69,1159.26220703125,759.186,3.814697265625e-06,2770.0,0.850612992
20,['/dt/shabtaia/dt-fujitsu/datasets/active/imagenet_detection/images/test/ILSVRC2012_test_00000061.JPEG'],0,0,60.648,997.96337890625,692.71,0.000255584716796875,230.0,0.850612992,64.33,1087.0888671875,736.649,0.000255584716796875,2924.0,0.850612992
21,['/dt/shabtaia/dt-fujitsu/datasets/active/imagenet_detection/images/test/ILSVRC2012_test_00000064.JPEG'],0,0,60.384,986.29833984375,693.335,0.000255584716796875,217.0,0.850612992,64.72,1084.54150390625,753.602,0.000255584716796875,2767.0,0.850612992
