,,accuracy,topk,clean_CUDA_time,clean_CUDA_mem,clean_CPU_time,clean_CPU_mem,clean_GFLOPs,adv_CUDA_time,adv_CUDA_mem,adv_CPU_time,adv_CPU_mem,adv_GFLOPs,diff_outliers,diff_outliers_%,diff_GFLOPs,diff_GFLOPs_%,diff_CUDA_mem,diff_CUDA_mem_%,diff_CUDA_time,diff_CUDA_time_%
/sise/home/barasa/8_bit/experiments/April/inf_1_0.001_True/results.csv,mean,0.02,0.069,56.492,989.62,95.157,0.0,0.851,58.598,1080.135,138.621,0.0,0.851,1736.594,7.886,0.0,0.0,90.515,0.092,2.106,0.038
/sise/home/barasa/8_bit/experiments/April/inf_1_0.001_True/results.csv,std,0.14,0.255,4.007,13.641,6.742,0.0,0.0,4.17,27.198,20.106,0.0,0.0,266.689,1.974,0.0,0.0,32.281,0.033,1.358,0.023
/sise/home/barasa/8_bit/experiments/April/inf_1_0.005_True/results.csv,mean,0.0,0.0,59.783,994.526,127.365,0.0,0.851,63.277,1127.263,172.715,0.0,0.851,2280.337,10.355,0.0,0.0,132.737,0.134,3.494,0.059
/sise/home/barasa/8_bit/experiments/April/inf_1_0.005_True/results.csv,std,0.0,0.0,2.192,14.276,14.768,0.0,0.0,2.221,14.983,17.57,0.0,0.0,232.072,2.128,0.0,0.0,21.145,0.022,0.633,0.011
/sise/home/barasa/8_bit/experiments/April/inf_1_0.01_True/results.csv,mean,0.01,0.02,60.704,999.504,191.232,0.0,0.851,64.156,1127.056,230.955,0.0,0.851,2337.03,10.564,0.0,0.0,127.553,0.128,3.451,0.057
/sise/home/barasa/8_bit/experiments/April/inf_1_0.01_True/results.csv,std,0.1,0.14,0.406,12.896,21.769,0.0,0.0,0.448,20.56,22.184,0.0,0.0,289.498,2.306,0.0,0.0,20.218,0.021,0.628,0.011
/sise/home/barasa/8_bit/experiments/April/inf_1_0.05_True/results.csv,mean,0.0,0.0,60.793,1015.15,261.862,0.0,0.851,64.086,1119.207,290.559,0.0,0.851,1884.703,8.492,0.0,0.0,104.057,0.103,3.293,0.054
/sise/home/barasa/8_bit/experiments/April/inf_1_0.05_True/results.csv,std,0.0,0.0,0.421,20.289,23.584,0.0,0.0,0.702,22.545,21.312,0.0,0.0,411.393,2.618,0.0,0.0,25.878,0.027,0.823,0.014
/sise/home/barasa/8_bit/experiments/April/inf_1_0.1_True/results.csv,mean,0.0,0.0,60.873,984.237,321.868,0.0,0.851,62.924,1089.854,343.878,0.0,0.851,931.851,4.222,0.0,0.0,105.617,0.107,2.051,0.034
/sise/home/barasa/8_bit/experiments/April/inf_1_0.1_True/results.csv,std,0.0,0.0,0.404,11.533,20.365,0.0,0.0,0.585,14.808,18.444,0.0,0.0,250.281,1.545,0.0,0.0,14.998,0.016,0.758,0.013
