,,accuracy,topk,clean_CUDA_time,clean_CUDA_mem,clean_CPU_time,clean_CPU_mem,clean_GFLOPs,adv_CUDA_time,adv_CUDA_mem,adv_CPU_time,adv_CPU_mem,adv_GFLOPs,diff_outliers,diff_outliers_%,diff_GFLOPs,diff_GFLOPs_%,diff_CUDA_mem,diff_CUDA_mem_%,diff_CUDA_time,diff_CUDA_time_%
/sise/home/barasa/8_bit/experiments/April/inf_1_0.001_True/results.csv,mean,0.02,0.069,56.492,989.62,95.157,0,0.851,58.598,1080.135,138.621,0,0.851,1736.594,7.886,0,0,90.515,0.092,2.106,0.038
/sise/home/barasa/8_bit/experiments/April/inf_1_0.005_True/results.csv,mean,0,0,59.783,994.526,127.365,0,0.851,63.277,1127.263,172.715,0,0.851,2280.337,10.355,0,0,132.737,0.134,3.494,0.059
/sise/home/barasa/8_bit/experiments/April/inf_1_0.01_True/results.csv,mean,0.01,0.02,60.704,999.504,191.232,0,0.851,64.156,1127.056,230.955,0,0.851,2337.03,10.564,0,0,127.553,0.128,3.451,0.057
/sise/home/barasa/8_bit/experiments/April/inf_1_0.05_True/results.csv,mean,0,0,60.793,1015.15,261.862,0,0.851,64.086,1119.207,290.559,0,0.851,1884.703,8.492,0,0,104.057,0.103,3.293,0.054
/sise/home/barasa/8_bit/experiments/April/inf_1_0.1_True/results.csv,mean,0,0,60.873,984.237,321.868,0,0.851,62.924,1089.854,343.878,0,0.851,931.851,4.222,0,0,105.617,0.107,2.051,0.034
/sise/home/barasa/8_bit/experiments/April/inf_1_0.5_True/results.csv,mean,0.01,0.02,43.062,981.332,379.329,0,0.851,42.725,1015.152,399.988,0,0.851,92.624,0.434,0,0,33.82,0.034,-0.337,-0.008
/sise/home/barasa/8_bit/experiments/April/inf_1_1_True/results.csv,mean,0,0,30.4,979.315,434.107,0,0.851,29.997,983.003,450.431,0,0.851,-42.307,-0.155,0,0,3.688,0.004,-0.402,-0.013
/sise/home/barasa/8_bit/experiments/April/inf_2_0.001_True/results.csv,mean,0.04,0.059,30.358,1008.686,477.21,0,0.851,31.66,1057.629,499.174,0,0.851,1753.861,7.963,0,0,48.943,0.049,1.302,0.043
/sise/home/barasa/8_bit/experiments/April/inf_2_0.005_True/results.csv,mean,0,0.02,30.36,1009.882,521.918,0,0.851,32.176,1175.615,546.4,0,0.851,2319.327,10.535,0,0,165.733,0.164,1.816,0.06
/sise/home/barasa/8_bit/experiments/April/inf_2_0.01_True/results.csv,mean,0,0,30.404,993.906,571.369,0,0.851,32.207,1125.72,596.027,0,0.851,2404.327,11.007,0,0,131.814,0.133,1.803,0.059
/sise/home/barasa/8_bit/experiments/April/inf_2_0.05_True/results.csv,mean,0,0,34.341,980.843,608.521,0,0.851,36.493,1129.213,635.125,0,0.851,2289.287,10.339,0,0,148.37,0.151,2.152,0.062
/sise/home/barasa/8_bit/experiments/April/inf_2_0.1_True/results.csv,mean,0,0,60.892,1008.165,633.894,0,0.851,63.744,1059.003,658.815,0,0.851,1329.079,6.009,0,0,50.837,0.051,2.852,0.047
/sise/home/barasa/8_bit/experiments/April/inf_2_0.5_True/results.csv,mean,0,0,60.774,995.804,674.36,0,0.851,60.376,1050.881,696.287,0,0.851,82.436,0.393,0,0,55.077,0.055,-0.398,-0.007
/sise/home/barasa/8_bit/experiments/April/inf_2_1_True/results.csv,mean,0,0,60.885,998.101,710.19,0,0.851,60.105,1007.674,731.908,0,0.851,-99.842,-0.399,0,0,9.573,0.01,-0.781,-0.013
/sise/home/barasa/8_bit/experiments/April/inf_5_0.001_True/results.csv,mean,0.04,0.059,60.671,985.632,763.236,0,0.851,63.302,1054.999,794.237,0,0.851,1753.861,7.963,0,0,69.367,0.07,2.631,0.043
/sise/home/barasa/8_bit/experiments/April/inf_5_0.005_True/results.csv,mean,0,0.02,60.708,994.487,802.539,0,0.851,64.391,1089.594,830.207,0,0.851,2319.327,10.535,0,0,95.107,0.096,3.684,0.061
/sise/home/barasa/8_bit/experiments/April/inf_5_0.01_True/results.csv,mean,0,0,40.888,1007.015,863.715,0,0.851,43.353,1094.894,894.954,0,0.851,2404.327,11.007,0,0,87.879,0.088,2.464,0.06
/sise/home/barasa/8_bit/experiments/April/inf_5_0.05_True/results.csv,mean,0,0,30.42,990.113,922.317,0,0.851,32.348,1113.123,956.098,0,0.851,2289.287,10.339,0,0,123.01,0.124,1.929,0.063
/sise/home/barasa/8_bit/experiments/April/inf_5_0.1_True/results.csv,mean,0,0,30.446,1006.994,960.902,0,0.851,31.892,1092.114,995.773,0,0.851,1329.079,6.009,0,0,85.12,0.085,1.447,0.048
/sise/home/barasa/8_bit/experiments/April/inf_5_0.5_True/results.csv,mean,0,0,30.409,989.663,1005.231,0,0.851,30.205,998.543,1032.768,0,0.851,82.436,0.393,0,0,8.88,0.009,-0.205,-0.007
